Hewlett-Packard-stock	value-weighted-index	equal-weighted-index	S&P500-index
  -2.786  -2.029  -1.178  -2.041
  -0.874  -0.653  -1.171  -0.512
   0.000   1.365   1.571   1.228
  -1.325   0.436   0.699   0.272
   4.773   1.916   1.406   1.984
   0.423   0.171   0.742   0.092
   2.500   0.892   1.113   0.767
  -0.619   0.236   0.700   0.027
  -0.831   0.398   0.880   0.417
   1.862   0.590   0.530   0.687
   1.827   0.068   0.587  -0.081
  -0.201  -0.193   0.238  -0.315
  -1.626   0.240   0.438   0.333
  -1.861   0.889   0.776   0.923
  -0.628  -0.639  -0.462  -0.527
   4.518   1.520   0.855   1.716
   2.968   0.303   0.564   0.229
   1.163  -0.017   0.380  -0.079
   2.474   1.026   0.739   1.085
  -0.755  -0.555  -0.165  -0.681
   4.445   1.070   0.727   0.986
  -2.569  -0.666   0.021  -0.907
   2.205   0.726   0.363   0.837
  -2.578  -0.460   0.069  -0.653
   0.187   0.247   0.241   0.254
   0.186   0.923   0.555   0.920
   0.000   0.504   0.612   0.483
   3.650   1.359   0.766   1.426
  -3.094  -0.690  -0.309  -0.706
   1.468   0.621   0.194   0.664
   1.446   0.257   0.213   0.457
  -2.362  -1.454  -0.732  -1.463
   1.460  -0.814  -0.490  -1.128
  -0.728  -0.631  -0.754  -0.704
   1.809   1.559   0.540   1.619
  -2.358  -0.808  -0.464  -1.027
  -3.169  -0.363  -0.572  -0.208
  -0.380  -1.361  -1.020  -1.497
   0.379   0.629   0.091   0.572
  -0.380  -1.155  -0.280  -1.414
  -2.698   0.023  -0.052  -0.027
   2.317   0.988   0.467   1.159
  -2.121  -0.867  -0.506  -1.026
   0.583  -0.018  -0.826   0.249
  -0.389  -1.510  -1.350  -1.474
  -0.781  -2.401  -2.394  -2.257
  -1.383  -1.755  -1.467  -1.624
   0.397  -0.810  -1.667  -0.366
   0.985   1.281   0.631   1.185
  -1.183  -0.658  -0.226  -0.848
  -1.399  -1.018  -0.301  -1.177
   0.000  -0.334  -0.338  -0.180
  -3.064  -3.246  -2.775  -3.053
   2.460   1.407  -0.658   1.783
   1.806   0.478   0.716   0.202
  -2.618  -1.034  -0.360  -1.148
  -1.273  -0.724  -0.444  -0.788
  -2.303  -3.160  -2.733  -3.007
   1.681  -0.506  -1.731  -0.091
  -0.208  -0.547  -0.314  -0.515
  -0.628  -1.879  -5.767  -0.467
   1.667   2.969   3.675   2.474
   3.851   1.508   1.236   1.390
  -0.598   0.369   0.882   0.088
  -0.200   0.853   1.115   0.488
  -2.229  -0.369   0.103  -0.517
  -1.653  -1.957  -1.613  -1.938
   0.830   1.070   0.344   1.003
   0.823   1.947   1.040   1.869
  -1.238   0.935   1.148   0.937
  -2.097  -0.083   0.597  -0.279
  -3.449  -0.966  -0.718  -0.919
  -0.660  -0.207  -0.232  -0.204
  -5.677  -1.064  -0.469  -1.068
   0.931  -0.494  -0.671  -0.484
  -0.231  -0.337   0.046  -0.496
  -3.542  -0.839  -0.981  -0.749
   6.739   3.395   2.096   3.572
   0.895   0.406   0.841   0.290
   2.854   0.788   0.952   0.644
  -0.651   0.528  -0.197   0.725
   1.513   0.433   0.450   0.455
  -0.430   0.370   0.469   0.208
  -0.866   0.336   0.369   0.405
