MONTH T UNEMPLYD
July 1 60572
August 2 52461
September 3 47357
October 4 48320
November 5 60219
December 6 84418
January 7 119916
February 8 124350
March 9 87309
April 10 57035
May 11 39903
June 12 34053
July 13 29905
August 14 28068
September 15 26634
October 16 29259
November 17 38942
December 18 65036
January 19 110728
February 20 108931
March 21 71517
April 22 54428
May 23 42911
June 24 37123
July 25 33044
August 26 30755
September 27 28742
October 28 31968
November 29 41427
December 30 63685
January 31 99189
February 32 104240
March 33 75304
April 34 43622
May 35 33990
June 36 26819
July 37 25291
August 38 24538
September 39 22685
October 40 23945
November 41 28245
December 42 47017
January 43 90920
February 44 89340
March 45 47792
April 46 28448
May 47 19139
June 48 16728
July 49 16523
August 50 16622
September 51 15499
